Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
About,,,,20-01-2025 12:27:23,20-01-2025 12:29:01,1m - 37.864s,PASSED
,,,,,,,
Test Cases/7. About/7.1 Contact/7.1.1 Main Page,,,,20-01-2025 12:27:23,20-01-2025 12:28:17,54.162s,PASSED
"startApplication(""Test Files/Setia_City_Mall_Version_5_13_11_(Version_Code_162).apk"", false)",,,,20-01-2025 12:27:23,20-01-2025 12:27:54,30.981s,PASSED
delay(1),,,,20-01-2025 12:27:54,20-01-2025 12:27:56,1.077s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView""), 0)",,"open side nav
",,20-01-2025 12:27:56,20-01-2025 12:28:00,4.712s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - About""), 0)",,,,20-01-2025 12:28:00,20-01-2025 12:28:15,14.289s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Contact""), 0)",,,,20-01-2025 12:28:15,20-01-2025 12:28:17,2.681s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.1 ATM,,,,20-01-2025 12:28:17,20-01-2025 12:28:23,5.885s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Services""), 0)",,"nav bar bottom
",,20-01-2025 12:28:17,20-01-2025 12:28:19,1.659s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - ATM""), 0)",,"atm
",,20-01-2025 12:28:19,20-01-2025 12:28:21,2.369s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (2)""), 0)",,back,,20-01-2025 12:28:21,20-01-2025 12:28:23,1.699s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.2 Bus,,,,20-01-2025 12:28:23,20-01-2025 12:28:27,3.516s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Bus""), 0)",,bus,,20-01-2025 12:28:23,20-01-2025 12:28:25,1.771s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (2)""), 0)",,,,20-01-2025 12:28:25,20-01-2025 12:28:27,1.626s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.3 Car Park Help Desk,,,,20-01-2025 12:28:27,20-01-2025 12:28:30,3.534s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Car Park Help-Desk""), 0)",,,,20-01-2025 12:28:27,20-01-2025 12:28:28,1.747s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (3)""), 0)",,,,20-01-2025 12:28:28,20-01-2025 12:28:30,1.701s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.4 Gift Wrapping,,,,20-01-2025 12:28:30,20-01-2025 12:28:33,3.172s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Gift Wrapping""), 0)",,,,20-01-2025 12:28:30,20-01-2025 12:28:32,1.436s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (3)""), 0)",,,,20-01-2025 12:28:32,20-01-2025 12:28:33,1.598s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.5 Lost and Found,,,,20-01-2025 12:28:33,20-01-2025 12:28:37,3.157s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Lost  Found""), 0)",,,,20-01-2025 12:28:33,20-01-2025 12:28:35,1.381s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (3)""), 0)",,,,20-01-2025 12:28:35,20-01-2025 12:28:37,1.654s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.1 Baby Stroller,,,,20-01-2025 12:28:37,20-01-2025 12:28:42,5.197s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Amenities""), 0)",,,,20-01-2025 12:28:37,20-01-2025 12:28:38,1.252s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Baby Strollers""), 0)",,,,20-01-2025 12:28:38,20-01-2025 12:28:40,2.179s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (3)""), 0)",,,,20-01-2025 12:28:40,20-01-2025 12:28:42,1.650s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.2 Handicapped Bathrooms,,,,20-01-2025 12:28:42,20-01-2025 12:28:45,3.285s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Handicapped Bathrooms""), 0)",,,,20-01-2025 12:28:42,20-01-2025 12:28:43,1.504s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (3)""), 0)",,,,20-01-2025 12:28:43,20-01-2025 12:28:45,1.654s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.3 Parents Room,,,,20-01-2025 12:28:45,20-01-2025 12:28:48,3.440s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Parents rooms""), 0)",,,,20-01-2025 12:28:45,20-01-2025 12:28:47,1.683s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (23)""), 0)",,,,20-01-2025 12:28:47,20-01-2025 12:28:48,1.671s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.4 Surau,,,,20-01-2025 12:28:48,20-01-2025 12:28:52,3.251s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Surau""), 0)",,,,20-01-2025 12:28:49,20-01-2025 12:28:50,1.512s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (4)""), 0)",,,,20-01-2025 12:28:50,20-01-2025 12:28:52,1.609s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.5 Wheel Chairs,,,,20-01-2025 12:28:52,20-01-2025 12:28:55,3.664s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Wheel Chairs""), 0)",,,,20-01-2025 12:28:52,20-01-2025 12:28:54,1.928s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (3)""), 0)",,,,20-01-2025 12:28:54,20-01-2025 12:28:55,1.645s,PASSED
,,,,,,,
Test Cases/7. About/7.4 Transport/7.4.1 Transport,,,,20-01-2025 12:28:55,20-01-2025 12:29:01,5.129s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Transport""), 0)",,,,20-01-2025 12:28:56,20-01-2025 12:28:57,1.758s,PASSED
delay(1),,,,20-01-2025 12:28:57,20-01-2025 12:28:58,1.024s,PASSED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,20-01-2025 12:28:58,20-01-2025 12:28:59,0.491s,PASSED
device_Width = getDeviceWidth(),,Get Width Height and Store in device_Width variable,,20-01-2025 12:28:59,20-01-2025 12:28:59,0.392s,PASSED
