Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
About,,,,20-01-2025 10:06:24,20-01-2025 10:07:28,1m - 4.014s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.1 ATM/7.2.1 ATM,,,,20-01-2025 10:06:24,20-01-2025 10:06:56,32.223s,PASSED
projectDir = getProjectDir(),,,,20-01-2025 10:06:24,20-01-2025 10:06:24,0.003s,PASSED
"apkFilePath = projectDir + ""/Test Files/Setia_City_Mall_Version_5_13_11_(Version_Code_162).apk""",,,,20-01-2025 10:06:24,20-01-2025 10:06:24,0.006s,PASSED
"startApplication(apkFilePath, false)",,,,20-01-2025 10:06:24,20-01-2025 10:06:44,19.955s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (22)""), 0)",,,,20-01-2025 10:06:44,20-01-2025 10:06:46,1.907s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (14)""), 0)",,,,20-01-2025 10:06:46,20-01-2025 10:06:48,2.157s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - About (1)""), 0)",,,,20-01-2025 10:06:48,20-01-2025 10:06:49,1.102s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Services""), 0)",,,,20-01-2025 10:06:49,20-01-2025 10:06:52,2.922s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ScrollView""), 0)",,,,20-01-2025 10:06:52,20-01-2025 10:06:54,1.603s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - ATM""), 0)",,,,20-01-2025 10:06:54,20-01-2025 10:06:55,0.776s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (16)""), 0)",,,,20-01-2025 10:06:55,20-01-2025 10:06:56,1.488s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.2 Bus/bus,,,,20-01-2025 10:06:56,20-01-2025 10:06:59,2.743s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Bus""), 0)",,,,20-01-2025 10:06:56,20-01-2025 10:06:57,1.217s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (17)""), 0)",,,,20-01-2025 10:06:57,20-01-2025 10:06:59,1.478s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.3 Car Park Help-Desk/car,,,,20-01-2025 10:06:59,20-01-2025 10:07:02,3.187s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Car Park Help-Desk""), 0)",,,,20-01-2025 10:06:59,20-01-2025 10:07:01,1.725s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (19)""), 0)",,,,20-01-2025 10:07:01,20-01-2025 10:07:02,1.418s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.4 Gift Wrapping/New Test Case,,,,20-01-2025 10:07:02,20-01-2025 10:07:05,2.780s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Gift Wrapping""), 0)",,,,20-01-2025 10:07:02,20-01-2025 10:07:03,1.234s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (21)""), 0)",,,,20-01-2025 10:07:03,20-01-2025 10:07:05,1.501s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.5 Lost n Found/lostnfound,,,,20-01-2025 10:07:05,20-01-2025 10:07:07,2.656s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Lost  Found""), 0)",,,,20-01-2025 10:07:05,20-01-2025 10:07:06,1.213s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (21)""), 0)",,,,20-01-2025 10:07:06,20-01-2025 10:07:07,1.401s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.1 Baby Strollers/Baby Stroller,,,,20-01-2025 10:07:07,20-01-2025 10:07:12,4.643s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Amenities""), 0)",,,,20-01-2025 10:07:07,20-01-2025 10:07:09,1.209s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Baby Strollers""), 0)",,,,20-01-2025 10:07:09,20-01-2025 10:07:11,1.903s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (23)""), 0)",,,,20-01-2025 10:07:11,20-01-2025 10:07:12,1.483s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.2 Handicapped Bathrooms/Handicapped Bathrooms,,,,20-01-2025 10:07:12,20-01-2025 10:07:15,3.074s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Handicapped Bathrooms""), 0)",,,,20-01-2025 10:07:12,20-01-2025 10:07:14,1.526s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (23)""), 0)",,,,20-01-2025 10:07:14,20-01-2025 10:07:15,1.509s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.3 Parents Rooms/Parents Room,,,,20-01-2025 10:07:15,20-01-2025 10:07:18,2.770s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Parents rooms""), 0)",,,,20-01-2025 10:07:15,20-01-2025 10:07:16,1.292s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (23)""), 0)",,,,20-01-2025 10:07:16,20-01-2025 10:07:18,1.439s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.4 Surau/Surau,,,,20-01-2025 10:07:18,20-01-2025 10:07:21,2.874s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Surau""), 0)",,,,20-01-2025 10:07:18,20-01-2025 10:07:19,1.330s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (24)""), 0)",,,,20-01-2025 10:07:19,20-01-2025 10:07:21,1.502s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.5 Wheel Chairs/Wheel Chairs,,,,20-01-2025 10:07:21,20-01-2025 10:07:24,3.165s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Wheel Chairs""), 0)",,,,20-01-2025 10:07:21,20-01-2025 10:07:22,1.629s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (23)""), 0)",,,,20-01-2025 10:07:22,20-01-2025 10:07:24,1.500s,PASSED
,,,,,,,
Test Cases/7. About/7.4 Transport/7.4.1 Transport,,,,20-01-2025 10:07:24,20-01-2025 10:07:28,3.667s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Transport""), 0)",,,,20-01-2025 10:07:24,20-01-2025 10:07:26,1.760s,PASSED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,20-01-2025 10:07:26,20-01-2025 10:07:26,0.360s,PASSED
device_Width = getDeviceWidth(),,Get Width Height and Store in device_Width variable,,20-01-2025 10:07:26,20-01-2025 10:07:26,0.329s,PASSED
startX = device_Width / 2,,Storing the startX value by dividing device width by 2. Because x coordinates are constant for Vertical Swiping,,20-01-2025 10:07:26,20-01-2025 10:07:26,0.006s,PASSED
endX = startX,,Here startX and endX values are equal for vertical Swiping for that assigning startX value to endX,,20-01-2025 10:07:26,20-01-2025 10:07:26,0.001s,PASSED
startY = device_Height * 0.30,,Storing the startY value,,20-01-2025 10:07:26,20-01-2025 10:07:26,0.002s,PASSED
endY = device_Height * 0.70,,Storing the endY value,,20-01-2025 10:07:26,20-01-2025 10:07:26,0.001s,PASSED
"swipe(startX, endY, endX, startY)",,Swipe Vertical from top to bottom,,20-01-2025 10:07:26,20-01-2025 10:07:28,1.141s,PASSED
