Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
About,,,,20-01-2025 09:59:00,20-01-2025 10:00:31,1m - 30.974s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.1 ATM/7.2.1 ATM,,,,20-01-2025 09:59:00,20-01-2025 09:59:55,55.578s,PASSED
projectDir = getProjectDir(),,,,20-01-2025 09:59:00,20-01-2025 09:59:00,0.004s,PASSED
"apkFilePath = projectDir + ""/Test Files/Setia_City_Mall_Version_5_13_11_(Version_Code_162).apk""",,,,20-01-2025 09:59:00,20-01-2025 09:59:00,0.007s,PASSED
"startApplication(apkFilePath, true)",,,,20-01-2025 09:59:00,20-01-2025 09:59:34,34.418s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (22)""), 0)",,,,20-01-2025 09:59:34,20-01-2025 09:59:39,4.740s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (14)""), 0)",,,,20-01-2025 09:59:39,20-01-2025 09:59:42,3.074s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - About (1)""), 0)",,,,20-01-2025 09:59:42,20-01-2025 09:59:51,8.890s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Services""), 0)",,,,20-01-2025 09:59:51,20-01-2025 09:59:52,0.522s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ScrollView""), 0)",,,,20-01-2025 09:59:52,20-01-2025 09:59:53,1.597s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - ATM""), 0)",,,,20-01-2025 09:59:53,20-01-2025 09:59:54,0.519s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (16)""), 0)",,,,20-01-2025 09:59:54,20-01-2025 09:59:55,1.532s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.2 Bus/bus,,,,20-01-2025 09:59:55,20-01-2025 09:59:58,3.077s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Bus""), 0)",,,,20-01-2025 09:59:55,20-01-2025 09:59:57,1.562s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (17)""), 0)",,,,20-01-2025 09:59:57,20-01-2025 09:59:58,1.472s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.3 Car Park Help-Desk/car,,,,20-01-2025 09:59:58,20-01-2025 10:00:02,3.119s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Car Park Help-Desk""), 0)",,,,20-01-2025 09:59:58,20-01-2025 10:00:00,1.296s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (19)""), 0)",,,,20-01-2025 10:00:00,20-01-2025 10:00:02,1.780s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.4 Gift Wrapping/New Test Case,,,,20-01-2025 10:00:02,20-01-2025 10:00:04,2.641s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Gift Wrapping""), 0)",,,,20-01-2025 10:00:02,20-01-2025 10:00:03,1.205s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (21)""), 0)",,,,20-01-2025 10:00:03,20-01-2025 10:00:04,1.388s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.5 Lost n Found/lostnfound,,,,20-01-2025 10:00:04,20-01-2025 10:00:07,3.089s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Lost  Found""), 0)",,,,20-01-2025 10:00:04,20-01-2025 10:00:06,1.647s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (21)""), 0)",,,,20-01-2025 10:00:06,20-01-2025 10:00:07,1.401s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.1 Baby Strollers/Baby Stroller,,,,20-01-2025 10:00:07,20-01-2025 10:00:12,4.688s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Amenities""), 0)",,,,20-01-2025 10:00:07,20-01-2025 10:00:09,1.296s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Baby Strollers""), 0)",,,,20-01-2025 10:00:09,20-01-2025 10:00:10,1.855s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (23)""), 0)",,,,20-01-2025 10:00:10,20-01-2025 10:00:12,1.488s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.2 Handicapped Bathrooms/Handicapped Bathrooms,,,,20-01-2025 10:00:12,20-01-2025 10:00:15,3.123s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Handicapped Bathrooms""), 0)",,,,20-01-2025 10:00:12,20-01-2025 10:00:14,1.587s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (23)""), 0)",,,,20-01-2025 10:00:14,20-01-2025 10:00:15,1.492s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.3 Parents Rooms/Parents Room,,,,20-01-2025 10:00:15,20-01-2025 10:00:18,2.664s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Parents rooms""), 0)",,,,20-01-2025 10:00:15,20-01-2025 10:00:16,1.214s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (23)""), 0)",,,,20-01-2025 10:00:16,20-01-2025 10:00:18,1.409s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.4 Surau/Surau,,,,20-01-2025 10:00:18,20-01-2025 10:00:21,2.745s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Surau""), 0)",,,,20-01-2025 10:00:18,20-01-2025 10:00:19,1.297s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (24)""), 0)",,,,20-01-2025 10:00:19,20-01-2025 10:00:21,1.404s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.5 Wheel Chairs/Wheel Chairs,,,,20-01-2025 10:00:21,20-01-2025 10:00:24,3.017s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Wheel Chairs""), 0)",,,,20-01-2025 10:00:21,20-01-2025 10:00:22,1.515s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (23)""), 0)",,,,20-01-2025 10:00:22,20-01-2025 10:00:24,1.462s,PASSED
,,,,,,,
Test Cases/7. About/7.4 Transport/7.4.1 Transport,,,,20-01-2025 10:00:27,20-01-2025 10:00:31,3.929s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Transport""), 0)",,,,20-01-2025 10:00:27,20-01-2025 10:00:27,0.456s,PASSED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,20-01-2025 10:00:27,20-01-2025 10:00:27,0.325s,PASSED
device_Width = getDeviceWidth(),,Get Device Width and Store in device_Width variable,,20-01-2025 10:00:27,20-01-2025 10:00:28,0.324s,PASSED
startY = device_Height / 2,,"Storing the startX,endX values by dividing device height by 2 Because Y coordinates are constant",,20-01-2025 10:00:28,20-01-2025 10:00:28,0.006s,PASSED
endY = startY,,Here endY and startY values are equal for vertical Swiping for that assigning startY value to endY,,20-01-2025 10:00:28,20-01-2025 10:00:28,0.001s,PASSED
startX = device_Width * 0.30,,Storing the startX value,,20-01-2025 10:00:28,20-01-2025 10:00:28,0.002s,PASSED
endX = device_Width * 0.70,,Storing the endX value,,20-01-2025 10:00:28,20-01-2025 10:00:28,0.001s,PASSED
"swipe(startX, startY, endX, endY)",,Here Y constant for Swipe Vertical Left to Right,,20-01-2025 10:00:28,20-01-2025 10:00:29,1.001s,PASSED
"swipe(startX, startY, endX, endY)",,Here Y constant for Swipe Vertical Left to Right,,20-01-2025 10:00:29,20-01-2025 10:00:30,0.901s,PASSED
"swipe(startX, startY, endX, endY)",,Here Y constant for Swipe Vertical Left to Right,,20-01-2025 10:00:30,20-01-2025 10:00:31,0.902s,PASSED
