Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
About,,,,20-01-2025 09:44:08,20-01-2025 09:45:39,1m - 30.956s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.1 ATM/7.2.1 ATM,,,,20-01-2025 09:44:09,20-01-2025 09:45:09,1m - 0.174s,PASSED
projectDir = getProjectDir(),,,,20-01-2025 09:44:09,20-01-2025 09:44:09,0.005s,PASSED
"apkFilePath = projectDir + ""/Test Files/Setia_City_Mall_Version_5_13_11_(Version_Code_162).apk""",,,,20-01-2025 09:44:09,20-01-2025 09:44:09,0.006s,PASSED
"startApplication(apkFilePath, true)",,,,20-01-2025 09:44:09,20-01-2025 09:44:45,35.842s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (22)""), 0)",,,,20-01-2025 09:44:45,20-01-2025 09:44:53,7.855s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (14)""), 0)",,,,20-01-2025 09:44:53,20-01-2025 09:44:54,1.137s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - About (1)""), 0)",,,,20-01-2025 09:44:54,20-01-2025 09:45:03,8.925s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Services""), 0)",,,,20-01-2025 09:45:03,20-01-2025 09:45:05,2.406s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ScrollView""), 0)",,,,20-01-2025 09:45:05,20-01-2025 09:45:07,1.654s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - ATM""), 0)",,,,20-01-2025 09:45:07,20-01-2025 09:45:07,0.551s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (16)""), 0)",,,,20-01-2025 09:45:07,20-01-2025 09:45:09,1.513s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.2 Bus/bus,,,,20-01-2025 09:45:09,20-01-2025 09:45:11,2.702s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Bus""), 0)",,,,20-01-2025 09:45:09,20-01-2025 09:45:10,1.229s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (17)""), 0)",,,,20-01-2025 09:45:10,20-01-2025 09:45:11,1.415s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.3 Car Park Help-Desk/car,,,,20-01-2025 09:45:12,20-01-2025 09:45:15,3.068s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Car Park Help-Desk""), 0)",,,,20-01-2025 09:45:12,20-01-2025 09:45:13,1.607s,PASSED
