Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
About,,,,20-01-2025 10:55:11,20-01-2025 10:56:15,1m - 4.714s,PASSED
,,,,,,,
Test Cases/7. About/7.1 Contact/7.1.1 Main Page,,,,20-01-2025 10:55:11,20-01-2025 10:55:40,29.190s,PASSED
"startApplication(""Test Files/Setia_City_Mall_Version_5_13_11_(Version_Code_162).apk"", false)",,,,20-01-2025 10:55:11,20-01-2025 10:55:32,21.031s,PASSED
delay(1),,,,20-01-2025 10:55:32,20-01-2025 10:55:33,1.028s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView""), 0)",,"open side nav
",,20-01-2025 10:55:33,20-01-2025 10:55:35,1.841s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - About""), 0)",,,,20-01-2025 10:55:35,20-01-2025 10:55:38,2.931s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Contact""), 0)",,,,20-01-2025 10:55:38,20-01-2025 10:55:40,2.126s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.1 ATM,,,,20-01-2025 10:55:40,20-01-2025 10:55:45,4.866s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Services""), 0)",,"nav bar bottom
",,20-01-2025 10:55:40,20-01-2025 10:55:42,1.404s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - ATM""), 0)",,"atm
",,20-01-2025 10:55:42,20-01-2025 10:55:44,1.954s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (2)""), 0)",,back,,20-01-2025 10:55:44,20-01-2025 10:55:45,1.458s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.2 Bus,,,,20-01-2025 10:55:45,20-01-2025 10:55:48,2.743s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Bus""), 0)",,bus,,20-01-2025 10:55:45,20-01-2025 10:55:46,1.256s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (2)""), 0)",,,,20-01-2025 10:55:46,20-01-2025 10:55:48,1.445s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.3 Car Park Help Desk,,,,20-01-2025 10:55:48,20-01-2025 10:55:50,2.738s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Car Park Help-Desk""), 0)",,,,20-01-2025 10:55:48,20-01-2025 10:55:49,1.250s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (3)""), 0)",,,,20-01-2025 10:55:49,20-01-2025 10:55:50,1.448s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.4 Gift Wrapping,,,,20-01-2025 10:55:50,20-01-2025 10:55:53,2.723s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Gift Wrapping""), 0)",,,,20-01-2025 10:55:50,20-01-2025 10:55:52,1.265s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (3)""), 0)",,,,20-01-2025 10:55:52,20-01-2025 10:55:53,1.419s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.5 Lost and Found,,,,20-01-2025 10:55:53,20-01-2025 10:55:56,2.736s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Lost  Found""), 0)",,,,20-01-2025 10:55:53,20-01-2025 10:55:55,1.280s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (3)""), 0)",,,,20-01-2025 10:55:55,20-01-2025 10:55:56,1.416s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.1 Baby Stroller,,,,20-01-2025 10:55:56,20-01-2025 10:56:01,4.686s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Amenities""), 0)",,,,20-01-2025 10:55:56,20-01-2025 10:55:57,1.238s,PASSED
