Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
About,,,,20-01-2025 09:56:22,20-01-2025 09:58:17,1m - 54.971s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.1 ATM/7.2.1 ATM,,,,20-01-2025 09:56:23,20-01-2025 09:57:33,1m - 9.954s,PASSED
projectDir = getProjectDir(),,,,20-01-2025 09:56:23,20-01-2025 09:56:23,0.003s,PASSED
"apkFilePath = projectDir + ""/Test Files/Setia_City_Mall_Version_5_13_11_(Version_Code_162).apk""",,,,20-01-2025 09:56:23,20-01-2025 09:56:23,0.007s,PASSED
"startApplication(apkFilePath, true)",,,,20-01-2025 09:56:23,20-01-2025 09:57:13,49.778s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (22)""), 0)",,,,20-01-2025 09:57:13,20-01-2025 09:57:17,4.614s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (14)""), 0)",,,,20-01-2025 09:57:17,20-01-2025 09:57:21,3.157s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - About (1)""), 0)",,,,20-01-2025 09:57:21,20-01-2025 09:57:26,5.752s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Services""), 0)",,,,20-01-2025 09:57:26,20-01-2025 09:57:29,2.574s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ScrollView""), 0)",,,,20-01-2025 09:57:29,20-01-2025 09:57:30,1.649s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - ATM""), 0)",,,,20-01-2025 09:57:30,20-01-2025 09:57:31,0.641s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (16)""), 0)",,,,20-01-2025 09:57:31,20-01-2025 09:57:33,1.496s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.2 Bus/bus,,,,20-01-2025 09:57:33,20-01-2025 09:57:35,2.716s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Bus""), 0)",,,,20-01-2025 09:57:33,20-01-2025 09:57:34,1.215s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (17)""), 0)",,,,20-01-2025 09:57:34,20-01-2025 09:57:35,1.441s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.3 Car Park Help-Desk/car,,,,20-01-2025 09:57:35,20-01-2025 09:57:38,2.776s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Car Park Help-Desk""), 0)",,,,20-01-2025 09:57:35,20-01-2025 09:57:37,1.306s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (19)""), 0)",,,,20-01-2025 09:57:37,20-01-2025 09:57:38,1.419s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.4 Gift Wrapping/New Test Case,,,,20-01-2025 09:57:38,20-01-2025 09:57:41,2.759s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Gift Wrapping""), 0)",,,,20-01-2025 09:57:38,20-01-2025 09:57:39,1.289s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (21)""), 0)",,,,20-01-2025 09:57:39,20-01-2025 09:57:41,1.410s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.5 Lost n Found/lostnfound,,,,20-01-2025 09:57:41,20-01-2025 09:57:44,2.639s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Lost  Found""), 0)",,,,20-01-2025 09:57:41,20-01-2025 09:57:42,1.207s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (21)""), 0)",,,,20-01-2025 09:57:42,20-01-2025 09:57:44,1.377s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.1 Baby Strollers/Baby Stroller,,,,20-01-2025 09:57:46,20-01-2025 09:57:50,3.860s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Amenities""), 0)",,,,20-01-2025 09:57:47,20-01-2025 09:57:47,0.486s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Baby Strollers""), 0)",,,,20-01-2025 09:57:47,20-01-2025 09:57:49,1.961s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (23)""), 0)",,,,20-01-2025 09:57:49,20-01-2025 09:57:50,1.402s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.2 Handicapped Bathrooms/Handicapped Bathrooms,,,,20-01-2025 09:57:50,20-01-2025 09:57:53,2.666s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Handicapped Bathrooms""), 0)",,,,20-01-2025 09:57:50,20-01-2025 09:57:52,1.190s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (23)""), 0)",,,,20-01-2025 09:57:52,20-01-2025 09:57:53,1.419s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.3 Parents Rooms/Parents Room,,,,20-01-2025 09:57:53,20-01-2025 09:57:56,2.736s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Parents rooms""), 0)",,,,20-01-2025 09:57:53,20-01-2025 09:57:54,1.198s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (23)""), 0)",,,,20-01-2025 09:57:54,20-01-2025 09:57:56,1.484s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.4 Surau/Surau,,,,20-01-2025 09:57:56,20-01-2025 09:57:59,2.853s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Surau""), 0)",,,,20-01-2025 09:57:56,20-01-2025 09:57:57,1.341s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (24)""), 0)",,,,20-01-2025 09:57:57,20-01-2025 09:57:59,1.459s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.5 Wheel Chairs/Wheel Chairs,,,,20-01-2025 09:57:59,20-01-2025 09:58:02,3.673s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Wheel Chairs""), 0)",,,,20-01-2025 09:57:59,20-01-2025 09:58:01,2.139s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (23)""), 0)",,,,20-01-2025 09:58:01,20-01-2025 09:58:02,1.478s,PASSED
,,,,,,,
Test Cases/7. About/7.4 Transport/7.4.1 Transport,,,,20-01-2025 09:58:10,20-01-2025 09:58:17,7.090s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView""), 0)",,,,20-01-2025 09:58:10,20-01-2025 09:58:11,0.370s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - About""), 0)",,,,20-01-2025 09:58:11,20-01-2025 09:58:13,1.855s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Transport""), 0)",,,,20-01-2025 09:58:13,20-01-2025 09:58:14,1.828s,PASSED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,20-01-2025 09:58:14,20-01-2025 09:58:15,0.190s,PASSED
device_Width = getDeviceWidth(),,Get Device Width and Store in device_Width variable,,20-01-2025 09:58:15,20-01-2025 09:58:15,0.162s,PASSED
startY = device_Height / 2,,"Storing the startX,endX values by dividing device height by 2 Because Y coordinates are constant",,20-01-2025 09:58:15,20-01-2025 09:58:15,0.007s,PASSED
endY = startY,,Here endY and startY values are equal for vertical Swiping for that assigning startY value to endY,,20-01-2025 09:58:15,20-01-2025 09:58:15,0.002s,PASSED
startX = device_Width * 0.30,,Storing the startX value,,20-01-2025 09:58:15,20-01-2025 09:58:15,0.002s,PASSED
endX = device_Width * 0.70,,Storing the endX value,,20-01-2025 09:58:15,20-01-2025 09:58:15,0.001s,PASSED
"swipe(startX, startY, endX, endY)",,Here Y constant for Swipe Vertical Left to Right,,20-01-2025 09:58:15,20-01-2025 09:58:16,0.997s,PASSED
"swipe(startX, startY, endX, endY)",,Here Y constant for Swipe Vertical Left to Right,,20-01-2025 09:58:16,20-01-2025 09:58:17,0.906s,PASSED
"swipe(startX, startY, endX, endY)",,Here Y constant for Swipe Vertical Left to Right,,20-01-2025 09:58:17,20-01-2025 09:58:17,0.754s,PASSED
