Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
About,,,,20-01-2025 10:57:13,20-01-2025 10:58:18,1m - 5.209s,PASSED
,,,,,,,
Test Cases/7. About/7.1 Contact/7.1.1 Main Page,,,,20-01-2025 10:57:13,20-01-2025 10:57:40,27.256s,PASSED
"startApplication(""Test Files/Setia_City_Mall_Version_5_13_11_(Version_Code_162).apk"", false)",,,,20-01-2025 10:57:13,20-01-2025 10:57:33,20.030s,PASSED
delay(1),,,,20-01-2025 10:57:33,20-01-2025 10:57:34,1.044s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView""), 0)",,"open side nav
",,20-01-2025 10:57:34,20-01-2025 10:57:36,1.844s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - About""), 0)",,,,20-01-2025 10:57:36,20-01-2025 10:57:38,1.979s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Contact""), 0)",,,,20-01-2025 10:57:38,20-01-2025 10:57:40,2.120s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.1 ATM,,,,20-01-2025 10:57:40,20-01-2025 10:57:45,4.986s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Services""), 0)",,"nav bar bottom
",,20-01-2025 10:57:40,20-01-2025 10:57:42,1.420s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - ATM""), 0)",,"atm
",,20-01-2025 10:57:42,20-01-2025 10:57:44,2.079s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (2)""), 0)",,back,,20-01-2025 10:57:44,20-01-2025 10:57:45,1.423s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.2 Bus,,,,20-01-2025 10:57:45,20-01-2025 10:57:48,2.981s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Bus""), 0)",,bus,,20-01-2025 10:57:45,20-01-2025 10:57:46,1.243s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (2)""), 0)",,,,20-01-2025 10:57:46,20-01-2025 10:57:48,1.685s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.3 Car Park Help Desk,,,,20-01-2025 10:57:48,20-01-2025 10:57:51,3.021s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Car Park Help-Desk""), 0)",,,,20-01-2025 10:57:48,20-01-2025 10:57:50,1.388s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (3)""), 0)",,,,20-01-2025 10:57:50,20-01-2025 10:57:51,1.572s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.4 Gift Wrapping,,,,20-01-2025 10:57:51,20-01-2025 10:57:54,3.256s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Gift Wrapping""), 0)",,,,20-01-2025 10:57:51,20-01-2025 10:57:53,1.675s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (3)""), 0)",,,,20-01-2025 10:57:53,20-01-2025 10:57:54,1.521s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.5 Lost and Found,,,,20-01-2025 10:57:54,20-01-2025 10:57:57,2.836s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Lost  Found""), 0)",,,,20-01-2025 10:57:54,20-01-2025 10:57:56,1.364s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (3)""), 0)",,,,20-01-2025 10:57:56,20-01-2025 10:57:57,1.422s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.1 Baby Stroller,,,,20-01-2025 10:57:57,20-01-2025 10:58:02,5.026s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Amenities""), 0)",,,,20-01-2025 10:57:57,20-01-2025 10:57:59,1.280s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Baby Strollers""), 0)",,,,20-01-2025 10:57:59,20-01-2025 10:58:01,2.252s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (3)""), 0)",,,,20-01-2025 10:58:01,20-01-2025 10:58:02,1.438s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.2 Handicapped Bathrooms,,,,20-01-2025 10:58:02,20-01-2025 10:58:05,2.817s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Handicapped Bathrooms""), 0)",,,,20-01-2025 10:58:02,20-01-2025 10:58:04,1.292s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (3)""), 0)",,,,20-01-2025 10:58:04,20-01-2025 10:58:05,1.475s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.3 Parents Room,,,,20-01-2025 10:58:05,20-01-2025 10:58:08,2.765s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Parents rooms""), 0)",,,,20-01-2025 10:58:05,20-01-2025 10:58:06,1.281s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (23)""), 0)",,,,20-01-2025 10:58:06,20-01-2025 10:58:08,1.430s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.4 Surau,,,,20-01-2025 10:58:08,20-01-2025 10:58:11,3.026s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Surau""), 0)",,,,20-01-2025 10:58:08,20-01-2025 10:58:09,1.557s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (4)""), 0)",,,,20-01-2025 10:58:09,20-01-2025 10:58:11,1.413s,PASSED
,,,,,,,
