Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite,,,,16-01-2025 12:49:39,16-01-2025 12:50:35,56.187s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.1 ATM/7.2.1 ATM,,,,16-01-2025 12:49:39,16-01-2025 12:50:32,53.451s,PASSED
"startApplication(""C:\Users\TUF\Downloads\Setia_City_Mall_Version_5_13_11_(Version_Code_162).apk"", true)",,,,16-01-2025 12:49:39,16-01-2025 12:50:13,33.865s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (14)""), 0)",,,,16-01-2025 12:50:13,16-01-2025 12:50:17,4.646s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - About (1)""), 0)",,,,16-01-2025 12:50:17,16-01-2025 12:50:26,8.772s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Services""), 0)",,,,16-01-2025 12:50:26,16-01-2025 12:50:28,2.305s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ScrollView""), 0)",,,,16-01-2025 12:50:28,16-01-2025 12:50:30,1.566s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - ATM""), 0)",,,,16-01-2025 12:50:30,16-01-2025 12:50:31,0.646s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (16)""), 0)",,,,16-01-2025 12:50:31,16-01-2025 12:50:32,1.460s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.2 Bus/bus,,,,16-01-2025 12:50:32,16-01-2025 12:50:35,2.599s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Bus""), 0)",,,,16-01-2025 12:50:32,16-01-2025 12:50:33,1.174s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (17)""), 0)",,,,16-01-2025 12:50:33,16-01-2025 12:50:35,1.388s,PASSED
