Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite,,,,16-01-2025 13:08:08,16-01-2025 13:09:15,1m - 7.012s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.1 ATM/7.2.1 ATM,,,,16-01-2025 13:08:08,16-01-2025 13:09:04,56.236s,PASSED
"startApplication(""C:\Users\TUF\Downloads\Setia_City_Mall_Version_5_13_11_(Version_Code_162).apk"", true)",,,,16-01-2025 13:08:08,16-01-2025 13:08:46,37.638s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (14)""), 0)",,,,16-01-2025 13:08:46,16-01-2025 13:08:51,4.661s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - About (1)""), 0)",,,,16-01-2025 13:08:51,16-01-2025 13:08:57,6.180s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Services""), 0)",,,,16-01-2025 13:08:57,16-01-2025 13:09:00,3.680s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ScrollView""), 0)",,,,16-01-2025 13:09:00,16-01-2025 13:09:02,1.498s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - ATM""), 0)",,,,16-01-2025 13:09:02,16-01-2025 13:09:03,0.721s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (16)""), 0)",,,,16-01-2025 13:09:03,16-01-2025 13:09:04,1.657s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.2 Bus/bus,,,,16-01-2025 13:09:04,16-01-2025 13:09:07,2.778s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Bus""), 0)",,,,16-01-2025 13:09:04,16-01-2025 13:09:06,1.208s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (17)""), 0)",,,,16-01-2025 13:09:06,16-01-2025 13:09:07,1.518s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.3 Car Park Help-Desk/car,,,,16-01-2025 13:09:07,16-01-2025 13:09:10,2.694s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Car Park Help-Desk""), 0)",,,,16-01-2025 13:09:07,16-01-2025 13:09:08,1.202s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (19)""), 0)",,,,16-01-2025 13:09:08,16-01-2025 13:09:10,1.446s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.4 Gift Wrapping/New Test Case,,,,16-01-2025 13:09:10,16-01-2025 13:09:12,2.578s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Gift Wrapping""), 0)",,,,16-01-2025 13:09:10,16-01-2025 13:09:11,1.150s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (21)""), 0)",,,,16-01-2025 13:09:11,16-01-2025 13:09:12,1.384s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.5 Lost n Found/lostnfound,,,,16-01-2025 13:09:12,16-01-2025 13:09:15,2.569s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Lost  Found""), 0)",,,,16-01-2025 13:09:12,16-01-2025 13:09:14,1.151s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (21)""), 0)",,,,16-01-2025 13:09:14,16-01-2025 13:09:15,1.368s,PASSED
