Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
About,,,,20-01-2025 14:34:25,20-01-2025 14:35:43,1m - 17.628s,PASSED
,,,,,,,
Test Cases/7. About/7.1 Contact/7.1.1 Main Page,,,,20-01-2025 14:34:26,20-01-2025 14:34:55,29.007s,PASSED
"startApplication(""Test Files/Setia_City_Mall_Version_5_13_11_(Version_Code_162).apk"", false)",,,,20-01-2025 14:34:26,20-01-2025 14:34:47,21.175s,PASSED
delay(1),,,,20-01-2025 14:34:47,20-01-2025 14:34:48,1.039s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView""), 0)",,"open side nav
",,20-01-2025 14:34:48,20-01-2025 14:34:50,1.669s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - About""), 0)",,,,20-01-2025 14:34:50,20-01-2025 14:34:52,2.399s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Contact""), 0)",,,,20-01-2025 14:34:52,20-01-2025 14:34:55,2.484s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.1 ATM,,,,20-01-2025 14:34:55,20-01-2025 14:35:01,6.599s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Services""), 0)",,"nav bar bottom
",,20-01-2025 14:34:55,20-01-2025 14:34:57,2.020s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - ATM""), 0)",,"atm
",,20-01-2025 14:34:57,20-01-2025 14:34:59,2.679s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (2)""), 0)",,back,,20-01-2025 14:34:59,20-01-2025 14:35:01,1.847s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.2 Bus,,,,20-01-2025 14:35:01,20-01-2025 14:35:04,3.033s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Bus""), 0)",,bus,,20-01-2025 14:35:01,20-01-2025 14:35:03,1.280s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (2)""), 0)",,,,20-01-2025 14:35:03,20-01-2025 14:35:04,1.712s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.3 Car Park Help Desk,,,,20-01-2025 14:35:04,20-01-2025 14:35:08,3.567s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Car Park Help-Desk""), 0)",,,,20-01-2025 14:35:04,20-01-2025 14:35:06,1.800s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (3)""), 0)",,,,20-01-2025 14:35:06,20-01-2025 14:35:08,1.721s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.4 Gift Wrapping,,,,20-01-2025 14:35:08,20-01-2025 14:35:11,3.515s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Gift Wrapping""), 0)",,,,20-01-2025 14:35:08,20-01-2025 14:35:11,2.966s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (3)""), 0)",,,,20-01-2025 14:35:11,20-01-2025 14:35:11,0.506s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.5 Lost and Found,,,,20-01-2025 14:35:11,20-01-2025 14:35:15,3.644s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Lost  Found""), 0)",,,,20-01-2025 14:35:11,20-01-2025 14:35:13,1.915s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (3)""), 0)",,,,20-01-2025 14:35:13,20-01-2025 14:35:15,1.687s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.1 Baby Stroller,,,,20-01-2025 14:35:15,20-01-2025 14:35:21,6.045s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Amenities""), 0)",,,,20-01-2025 14:35:15,20-01-2025 14:35:17,1.749s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Baby Strollers""), 0)",,,,20-01-2025 14:35:17,20-01-2025 14:35:19,2.253s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (3)""), 0)",,,,20-01-2025 14:35:19,20-01-2025 14:35:21,2.003s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.2 Handicapped Bathrooms,,,,20-01-2025 14:35:21,20-01-2025 14:35:24,3.172s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Handicapped Bathrooms""), 0)",,,,20-01-2025 14:35:21,20-01-2025 14:35:22,1.244s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (3)""), 0)",,,,20-01-2025 14:35:22,20-01-2025 14:35:24,1.890s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.3 Parents Room,,,,20-01-2025 14:35:24,20-01-2025 14:35:28,3.263s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Parents rooms""), 0)",,,,20-01-2025 14:35:24,20-01-2025 14:35:27,2.758s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (23)""), 0)",,,,20-01-2025 14:35:27,20-01-2025 14:35:28,0.459s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.4 Surau,,,,20-01-2025 14:35:28,20-01-2025 14:35:31,3.849s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Surau""), 0)",,,,20-01-2025 14:35:28,20-01-2025 14:35:30,1.951s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (4)""), 0)",,,,20-01-2025 14:35:30,20-01-2025 14:35:31,1.855s,PASSED
,,,,,,,
Test Cases/7. About/7.3 Amenities/7.3.5 Wheel Chairs,,,,20-01-2025 14:35:31,20-01-2025 14:35:35,3.570s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Wheel Chairs""), 0)",,,,20-01-2025 14:35:31,20-01-2025 14:35:33,1.822s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.ImageView (3)""), 0)",,,,20-01-2025 14:35:33,20-01-2025 14:35:35,1.705s,PASSED
,,,,,,,
Test Cases/7. About/7.4 Transport/7.4.1 Transport,,,,20-01-2025 14:35:35,20-01-2025 14:35:43,8.124s,PASSED
"tap(findTestObject(""Object Repository/SCM/about/android.widget.TextView - Transport""), 0)",,,,20-01-2025 14:35:35,20-01-2025 14:35:38,2.688s,PASSED
delay(1),,,,20-01-2025 14:35:38,20-01-2025 14:35:39,1.013s,PASSED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,20-01-2025 14:35:39,20-01-2025 14:35:39,0.362s,PASSED
device_Width = getDeviceWidth(),,Get Width Height and Store in device_Width variable,,20-01-2025 14:35:39,20-01-2025 14:35:39,0.331s,PASSED
startX = device_Width / 2,,Storing the startX value by dividing device width by 2. Because x coordinates are constant for Vertical Swiping,,20-01-2025 14:35:39,20-01-2025 14:35:39,0.005s,PASSED
endX = startX,,Here startX and endX values are equal for vertical Swiping for that assigning startX value to endX,,20-01-2025 14:35:39,20-01-2025 14:35:39,0.001s,PASSED
startY = device_Height * 0.30,,Storing the startY value,,20-01-2025 14:35:39,20-01-2025 14:35:39,0.002s,PASSED
endY = device_Height * 0.70,,Storing the endY value,,20-01-2025 14:35:39,20-01-2025 14:35:39,0.001s,PASSED
"swipe(startX, endY, endX, startY)",,Swipe Vertical from top to bottom,,20-01-2025 14:35:39,20-01-2025 14:35:41,1.310s,PASSED
"swipe(startX, endY, endX, startY)",,Swipe Vertical from top to bottom,,20-01-2025 14:35:41,20-01-2025 14:35:42,1.169s,PASSED
"swipe(startX, endY, endX, startY)",,Swipe Vertical from top to bottom,,20-01-2025 14:35:42,20-01-2025 14:35:43,1.162s,PASSED
