Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite,,,,17-01-2025 09:20:55,17-01-2025 09:21:20,24.479s,FAILED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.1 ATM/7.2.1 ATM,,,,17-01-2025 09:21:14,17-01-2025 09:21:15,0.705s,FAILED
"startApplication(""C:\Users\TUF\Downloads\Setia_City_Mall_Version_5_13_11_(Version_Code_162).apk"", true)",,,,17-01-2025 09:21:14,17-01-2025 09:21:15,0.663s,FAILED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.2 Bus/bus,,,,17-01-2025 09:21:15,17-01-2025 09:21:15,0.029s,FAILED
"tap(findTestObject(""Object Repository/android.widget.TextView - Bus""), 0)",,,,17-01-2025 09:21:15,17-01-2025 09:21:15,0.009s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.3 Car Park Help-Desk/car,,,,17-01-2025 09:21:16,17-01-2025 09:21:16,0.026s,FAILED
"tap(findTestObject(""Object Repository/android.widget.TextView - Car Park Help-Desk""), 0)",,,,17-01-2025 09:21:16,17-01-2025 09:21:16,0.010s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.4 Gift Wrapping/New Test Case,,,,17-01-2025 09:21:16,17-01-2025 09:21:19,3.396s,FAILED
"tap(findTestObject(""Object Repository/android.widget.TextView - Gift Wrapping""), 0)",,,,17-01-2025 09:21:16,17-01-2025 09:21:19,3.373s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.5 Lost n Found/lostnfound,,,,17-01-2025 09:21:20,17-01-2025 09:21:20,0.040s,FAILED
"tap(findTestObject(""Object Repository/android.widget.TextView - Lost  Found""), 0)",,,,17-01-2025 09:21:20,17-01-2025 09:21:20,0.015s,PASSED
