Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite,,,,17-01-2025 12:14:06,17-01-2025 12:15:59,1m - 52.817s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.1 ATM/7.2.1 ATM,,,,17-01-2025 12:14:06,17-01-2025 12:15:26,1m - 19.745s,PASSED
projectDir = getProjectDir(),,,,17-01-2025 12:14:06,17-01-2025 12:14:06,0.003s,PASSED
"apkFilePath = projectDir + ""/Test Files/Setia_City_Mall_Version_5_13_11_(Version_Code_162).apk""",,,,17-01-2025 12:14:06,17-01-2025 12:14:06,0.005s,PASSED
"startApplication(apkFilePath, true)",,,,17-01-2025 12:14:06,17-01-2025 12:14:53,46.703s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (22)""), 0)",,,,17-01-2025 12:14:53,17-01-2025 12:15:01,8.303s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (14)""), 0)",,,,17-01-2025 12:15:01,17-01-2025 12:15:03,1.373s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - About (1)""), 0)",,,,17-01-2025 12:15:03,17-01-2025 12:15:19,16.367s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Services""), 0)",,,,17-01-2025 12:15:19,17-01-2025 12:15:22,2.490s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ScrollView""), 0)",,,,17-01-2025 12:15:22,17-01-2025 12:15:24,1.933s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - ATM""), 0)",,,,17-01-2025 12:15:24,17-01-2025 12:15:24,0.554s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (16)""), 0)",,,,17-01-2025 12:15:24,17-01-2025 12:15:26,1.740s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.2 Bus/bus,,,,17-01-2025 12:15:26,17-01-2025 12:15:29,3.479s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Bus""), 0)",,,,17-01-2025 12:15:26,17-01-2025 12:15:28,1.779s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (17)""), 0)",,,,17-01-2025 12:15:28,17-01-2025 12:15:29,1.615s,PASSED
,,,,,,,
Test Cases/7. About/7.2 Services/7.2.3 Car Park Help-Desk/car,,,,17-01-2025 12:15:29,17-01-2025 12:15:33,3.471s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Car Park Help-Desk""), 0)",,,,17-01-2025 12:15:30,17-01-2025 12:15:31,1.617s,PASSED
